,Customer Code & Name,DABS9440,SAGAR CORP.-[I/C DIST]-BAPUNAGAR
,DMS PO Number,2022/PO000002,
,Unique PO Number,3312,
,Delivery Plant,2201,Vadilal Enterprises Ltd Pundra
,,,
Sno,Material code,Material Description,Qty
1,FGIF1WU59,H - Volcano Chocolate Cone - [1*10],1.00
2,FGIF71848,SUPER KAJU DRAKSH BLK - 5 LITRE,1.00
