,Customer Code & Name,DABS9440,SAGAR CORP.-[I/C DIST]-BAPUNAGAR
,DMS PO Number,2022/PO000001,
,Unique PO Number,3311,
,Delivery Plant,2201,Vadilal Enterprises Ltd Pundra
,,,
Sno,Material code,Material Description,Qty
1,FGIF1WU58,H - Big T Royal Butter Scotch -[1*10],1.00
2,FGIF71823,YUMMY STRAWBERRY BLK - 5 LITRE,1.00
