Sr. No.,Distributor Code,Distributor Name,Dealer Code,Dealer Name,Discount,DiscountType,From,Up To
1,DABS9440,SAGAR CORP.,DABA1520,AMBICA MILK & SWEET MART,8,P,01.04.2016,31.03.2017
2,DABS9440,SAGAR CORP.,DABA2580,AMBICA DUGDHALAYA-ODHAV,9,P,01.04.2016,31.03.2017
3,DABS9440,SAGAR CORP.,DABD0890,DARBAR LASSI CENTRE-ODHAV,8,P,01.04.2016,31.03.2017
4,DABS9440,SAGAR CORP.,DABG1360,GOKUL CORNER-ODHAV,4,P,01.04.2016,31.03.2017
5,DABS9440,SAGAR CORP.,DABI0270,IMPALA JUICE CENTRE,150,D,01.04.2016,31.03.2017
6,DABS9440,SAGAR CORP.,DABKS062,KARNAVATI DAIRY - VASTRAL,200,D,01.04.2016,31.03.2017
7,DABS9440,SAGAR CORP.,DABM9900,MUMTAJ KIRANA STORE & FLOOR FACTORY,300,D,01.04.2016,31.03.2017
